reading from ../data/room14.txt
761 T 26.5625
762 T 26.5625
763 T 26.5625
764 T 26.5625
765 T 26.625
766 T 26.5625
767 T 26.5625
768 T 26.5625
769 T 26.5625
770 T 26.5625
771 T 26.5625
772 T 26.5625
773 T 26.625
774 T 26.5625
775 T 26.5625
776 T 26.5625
777 T 26.5625
778 T 26.5625
779 T 26.5625
780 T 26.5625
781 T 26.5625
782 T 26.5625
783 T 26.5625
784 T 26.5625
785 T 26.5625
786 T 26.5625
787 T 26.5625
788 T 26.5625
789 T 26.5625
790 T 26.5625
791 T 26.5625
792 T 26.5625
793 T 26.5625
794 T 26.5625
795 T 26.5625
796 T 26.5625
797 T 26.5625
798 T 26.5625
799 T 26.5625
800 T 26.5625
801 T 26.5625
802 T 26.5625
803 T 26.5625
804 T 26.5625
805 T 26.5625
806 T 26.5625
807 T 26.5625
808 T 26.5625
809 T 26.5625
810 T 26.5
811 T 26.5625
812 T 26.5
813 T 26.5625
814 T 26.5625
815 T 26.5
816 T 26.5625
817 T 26.5625
818 T 26.5
819 T 26.5625
820 T 26.5
821 T 26.5625
822 T 26.5625
823 T 26.5625
824 T 26.5625
825 T 26.5625
826 T 26.5625
827 T 26.5
828 T 26.5625
829 T 26.5625
830 T 26.5625
831 T 26.5625
832 T 26.5625
833 T 26.5
834 T 26.5625
835 T 26.5
836 T 26.5
837 T 26.5625
838 T 26.5625
839 T 26.5625
840 T 26.5
841 T 26.5625
842 T 26.5
843 T 26.5625
844 T 26.5
845 T 26.5
846 T 26.5
847 T 26.5
848 T 26.5625
849 T 26.5625
850 T 26.5
851 T 26.5
852 T 26.5
853 T 26.5
854 T 26.5
855 T 26.5625
856 T 26.5
857 T 26.5
858 T 26.5
859 T 26.5625
860 T 26.5
861 T 26.5
862 T 26.5
863 T 26.5
864 T 26.5
865 T 26.5
866 T 26.5
867 T 26.5
868 T 26.5
869 T 26.5625
870 T 26.5
871 T 26.5
872 T 26.5
873 T 26.5
874 T 26.5
875 T 26.5
876 T 26.5
877 T 26.5
878 T 26.5
879 T 26.5
880 T 26.5
881 T 26.5
882 T 26.5
883 T 26.5
884 T 26.5
885 T 26.5
886 T 26.5
887 T 26.5
888 T 26.5
889 T 26.5
890 T 26.5
891 T 26.5
892 T 26.5
893 T 26.5
894 T 26.5
895 T 26.5
896 T 26.5
897 T 26.5
898 T 26.5
899 T 26.5
900 T 26.5
901 T 26.5
902 T 26.5
903 T 26.5625
904 T 26.5
905 T 26.5
906 T 26.5
907 T 26.5
908 T 26.5
909 T 26.5
910 T 26.5
911 T 26.5
912 T 26.5
913 T 26.5
914 T 26.5
915 T 26.5
916 T 26.5
917 T 26.5
918 T 26.5
919 T 26.5
920 T 26.5
921 T 26.5
922 T 26.5
923 T 26.5
924 T 26.4375
925 T 26.5
926 T 26.5
927 T 26.5
928 T 26.5
929 T 26.5
930 T 26.5
931 T 26.5
932 T 26.5
933 T 26.5
934 T 26.5
935 T 26.4375
936 T 26.4375
937 T 26.5
938 T 26.4375
939 T 26.5
940 T 26.5
941 T 26.5
942 T 26.5
943 T 26.5
944 T 26.4375
945 T 26.5
946 T 26.4375
947 T 26.5
948 T 26.5
949 T 26.5
950 T 26.5
951 T 26.4375
952 T 26.5
953 T 26.5
954 T 26.4375
955 T 26.4375
956 T 26.4375
957 T 26.5
958 T 26.5
959 T 26.4375
960 T 26.4375
961 T 26.4375
962 T 26.4375
963 T 26.5
964 T 26.4375
965 T 26.5
966 T 26.4375
967 T 26.4375
968 T 26.4375
969 T 26.4375
970 T 26.4375
971 T 26.4375
972 T 26.5
973 T 26.4375
974 T 26.4375
975 T 26.4375
976 T 26.4375
977 T 26.4375
978 T 26.4375
979 T 26.5
980 T 26.4375
981 T 26.4375
982 T 26.5
983 T 26.5
984 T 26.5
985 T 26.4375
986 T 26.4375
987 T 26.4375
988 T 26.4375
989 T 26.4375
990 T 26.4375
991 T 26.4375
992 T 26.4375
993 T 26.4375
994 T 26.4375
995 T 26.4375
996 T 26.4375
997 T 26.4375
998 T 26.4375
999 T 26.5
1000 T 26.4375
1001 T 26.4375
1002 T 26.4375
1003 T 26.4375
1004 T 26.4375
1005 T 26.4375
1006 T 26.4375
1007 T 26.4375
1008 T 26.4375
1009 T 26.4375
1010 T 26.4375
1011 T 26.4375
1012 T 26.5
1013 T 26.5
1014 T 26.4375
1015 T 26.4375
1016 T 26.4375
1017 T 26.375
1018 T 26.5
1019 T 26.4375
1020 T 26.4375
1021 T 26.4375
1022 T 26.4375
1023 T 26.4375
1024 T 26.4375
1025 T 26.5
1026 T 26.4375
1027 T 26.4375
1028 T 26.4375
1029 T 26.4375
1030 T 26.4375
1031 T 26.4375
1032 T 26.4375
1033 T 26.5
1034 T 26.5
1035 T 26.4375
1036 T 26.4375
1037 T 26.4375
1038 T 26.5
1039 T 26.4375
1040 T 26.5
1041 T 26.4375
1042 T 26.4375
1043 T 26.4375
1044 T 26.5
1045 T 26.5
1046 T 26.4375
1047 T 26.4375
1048 T 26.4375
1049 T 26.5
1050 T 26.4375
1051 T 26.4375
1052 T 26.4375
1053 T 26.5
1054 T 26.4375
1055 T 26.5
1056 T 26.4375
1057 T 26.5
1058 T 26.5
1059 T 26.5
1060 T 26.5
1061 T 26.4375
1062 T 26.4375
1063 T 26.5
1064 T 26.4375
1065 T 26.5
1066 T 26.5
1067 T 26.4375
1068 T 26.4375
1069 T 26.5
1070 T 26.5
1071 T 26.4375
1072 T 26.5
1073 T 26.5
1074 T 26.5
1075 T 26.5
1076 T 26.5
1077 T 26.5
1078 T 26.5
1079 T 26.4375
1080 T 26.5
1081 T 26.5
1082 T 26.5
1083 T 26.5
1084 T 26.5
1085 T 26.5
1086 T 26.5
1087 T 26.5
1088 T 26.5
1089 T 26.5
1090 T 26.5
1091 T 26.5
1092 T 26.5
1093 T 26.5
1094 T 26.5625
1095 T 26.5
1096 T 26.5
1097 T 26.5
1098 T 26.5
1099 T 26.5
1100 T 26.5
1101 T 26.5
1102 T 26.5625
1103 T 26.5
1104 T 26.4375
1105 T 26.5
1106 T 26.5
1107 T 26.5625
1108 T 26.5
1109 T 26.5
1110 T 26.5625
1111 T 26.5625
1112 T 26.5625
1113 T 26.5
1114 T 26.5
1115 T 26.5
1116 T 26.5625
1117 T 26.5625
1118 T 26.5
1119 T 26.5
1120 T 26.5
1121 T 26.5
1122 T 26.5625
1123 T 26.5625
1124 T 26.5625
1125 T 26.5
1126 T 26.5625
1127 T 26.5625
1128 T 26.5625
1129 T 26.5
1130 T 26.5625
1131 T 26.5625
1132 T 26.5625
1133 T 26.5
1134 T 26.5625
1135 T 26.5625
1136 T 26.5625
1137 T 26.5625
1138 T 26.5
1139 T 26.5625
1140 T 26.5625
1141 T 26.625
1142 T 26.5625
1143 T 26.5625
1144 T 26.5625
1145 T 26.5625
1146 T 26.5625
1147 T 26.5625
1148 T 26.5625
1149 T 26.5625
1150 T 26.5625
1151 T 26.625
1152 T 26.5625
1153 T 26.5625
1154 T 26.5625
1155 T 26.5625
1156 T 26.625
1157 T 26.5625
1158 T 26.5625
1159 T 26.5625
1160 T 26.5625
1161 T 26.625
1162 T 26.5625
1163 T 26.5625
1164 T 26.5625
1165 T 26.5625
1166 T 26.5625
1167 T 26.5625
1168 T 26.5625
1169 T 26.5625
1170 T 26.5625
1171 T 26.625
1172 T 26.5625
1173 T 26.625
1174 T 26.5625
1175 T 26.5625
1176 T 26.625
1177 T 26.5625
1178 T 26.625
1179 T 26.5625
1180 T 26.5625
1181 T 26.5625
1182 T 26.5625
1183 T 26.5625
1184 T 26.5625
1185 T 26.5625
1186 T 26.5625
1187 T 26.5625
1188 T 26.625
1189 T 26.5625
1190 T 26.5625
1191 T 26.625
1192 T 26.5625
1193 T 26.5625
1194 T 26.5625
1195 T 26.625
1196 T 26.625
1197 T 26.5625
1198 T 26.625
1199 T 26.5625
1200 T 26.5625
1201 T 26.5625
1202 T 26.625
1203 T 26.625
1204 T 26.5625
1205 T 26.6875
1206 T 26.5625
1207 T 26.625
1208 T 26.625
1209 T 26.625
1210 T 26.625
1211 T 26.5625
1212 T 26.625
1213 T 26.625
1214 T 26.625
1215 T 26.5625
1216 T 26.5625
1217 T 26.625
1218 T 26.625
1219 T 26.625
1220 T 26.625
1221 T 26.625
1222 T 26.5625
1223 T 26.625
1224 T 26.625
1225 T 26.625
1226 T 26.625
1227 T 26.625
1228 T 26.625
1229 T 26.625
1230 T 26.625
1231 T 26.5625
1232 T 26.625
1233 T 26.625
1234 T 26.625
1235 T 26.625
1236 T 26.625
1237 T 26.5625
1238 T 26.5625
1239 T 26.625
1240 T 26.625
1241 T 26.5625
1242 T 26.625
1243 T 26.625
1244 T 26.625
1245 T 26.5625
1246 T 26.625
1247 T 26.625
1248 T 26.625
1249 T 26.625
1250 T 26.625
1251 T 26.5625
1252 T 26.625
1253 T 26.625
1254 T 26.625
